experiment_id,lion_subject_id,tiger_subject_id,leopard_subject_id,lion_mask_status,tiger_mask_status,leopard_mask_status,lion_eeg_data_rest_state,lion_eeg_data_finger_tapping,lion_eeg_data_affective_task_individual,lion_eeg_data_affective_task_team,lion_eeg_data_ping_pong_competetive_0,lion_eeg_data_ping_pong_competetive_1,lion_eeg_data_ping_pong_cooperative_0,lion_eeg_data_hands_on_training,lion_eeg_data_saturn_a,lion_eeg_data_saturn_b,tiger_eeg_data_rest_state,tiger_eeg_data_finger_tapping,tiger_eeg_data_affective_task_individual,tiger_eeg_data_affective_task_team,tiger_eeg_data_ping_pong_competetive_0,tiger_eeg_data_ping_pong_competetive_1,tiger_eeg_data_ping_pong_cooperative_0,tiger_eeg_data_hands_on_training,tiger_eeg_data_saturn_a,tiger_eeg_data_saturn_b,leopard_eeg_data_rest_state,leopard_eeg_data_finger_tapping,leopard_eeg_data_affective_task_individual,leopard_eeg_data_affective_task_team,leopard_eeg_data_ping_pong_competetive_0,leopard_eeg_data_ping_pong_competetive_1,leopard_eeg_data_ping_pong_cooperative_0,leopard_eeg_data_hands_on_training,leopard_eeg_data_saturn_a,leopard_eeg_data_saturn_b,lion_nirs_data_rest_state,lion_nirs_data_finger_tapping,lion_nirs_data_affective_task_individual,lion_nirs_data_affective_task_team,lion_nirs_data_ping_pong_competetive_0,lion_nirs_data_ping_pong_competetive_1,lion_nirs_data_ping_pong_cooperative_0,lion_nirs_data_hands_on_training,lion_nirs_data_saturn_a,lion_nirs_data_saturn_b,tiger_nirs_data_rest_state,tiger_nirs_data_finger_tapping,tiger_nirs_data_affective_task_individual,tiger_nirs_data_affective_task_team,tiger_nirs_data_ping_pong_competetive_0,tiger_nirs_data_ping_pong_competetive_1,tiger_nirs_data_ping_pong_cooperative_0,tiger_nirs_data_hands_on_training,tiger_nirs_data_saturn_a,tiger_nirs_data_saturn_b,leopard_nirs_data_rest_state,leopard_nirs_data_finger_tapping,leopard_nirs_data_affective_task_individual,leopard_nirs_data_affective_task_team,leopard_nirs_data_ping_pong_competetive_0,leopard_nirs_data_ping_pong_competetive_1,leopard_nirs_data_ping_pong_cooperative_0,leopard_nirs_data_hands_on_training,leopard_nirs_data_saturn_a,leopard_nirs_data_saturn_b,lion_pupil_data_rest_state,lion_pupil_data_finger_tapping,lion_pupil_data_affective_task_individual,lion_pupil_data_affective_task_team,lion_pupil_data_ping_pong_competetive_0,lion_pupil_data_ping_pong_competetive_1,lion_pupil_data_ping_pong_cooperative_0,lion_pupil_data_hands_on_training,lion_pupil_data_saturn_a,lion_pupil_data_saturn_b,tiger_pupil_data_rest_state,tiger_pupil_data_finger_tapping,tiger_pupil_data_affective_task_individual,tiger_pupil_data_affective_task_team,tiger_pupil_data_ping_pong_competetive_0,tiger_pupil_data_ping_pong_competetive_1,tiger_pupil_data_ping_pong_cooperative_0,tiger_pupil_data_hands_on_training,tiger_pupil_data_saturn_a,tiger_pupil_data_saturn_b,leopard_pupil_data_rest_state,leopard_pupil_data_finger_tapping,leopard_pupil_data_affective_task_individual,leopard_pupil_data_affective_task_team,leopard_pupil_data_ping_pong_competetive_0,leopard_pupil_data_ping_pong_competetive_1,leopard_pupil_data_ping_pong_cooperative_0,leopard_pupil_data_hands_on_training,leopard_pupil_data_saturn_a,leopard_pupil_data_saturn_b
"exp_2022_09_30_10","00012","00013","00019","mask_on","mask_on","mask_on","ok","ok","ok","ok","ok","ok","ok","ok","experimenter_no_cap_on","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","experimenter_no_cap_on","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","experimenter_no_glasses_on","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found"
"exp_2022_10_04_09","00011","00018","00020","mask_on","mask_on","mask_on","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found"
"exp_2022_10_07_15","00032","00033","00034","mask_on","mask_on","mask_on","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok"
"exp_2022_10_14_10","00039","00041","00044","mask_on","mask_on","mask_on","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok"
"exp_2022_10_18_10","00029","00046","00047","mask_on","mask_on","mask_on","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok"
"exp_2022_10_21_15","00043","00045","00049","mask_on","mask_on","mask_on","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok"
"exp_2022_10_24_12","00023","99905","00051","mask_on","mask_on","mask_on","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found"
"exp_2022_10_27_10","99902","00068","00066","","mask_on","mask_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","misson_start_time_not_found","experimenter_no_cap_on","experimenter_no_cap_on","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","misson_start_time_not_found","experimenter_no_cap_on","experimenter_no_cap_on","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","experimenter_no_glasses_on","misson_start_time_not_found","experimenter_no_glasses_on","experimenter_no_glasses_on","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok"
"exp_2022_10_28_10","99902","00057","00060","mask_on","mask_on","mask_on","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok","ok"
"exp_2022_10_31_10","99907","00064","00069","mask_on","mask_on","mask_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","misson_start_time_not_found","experimenter_no_cap_on","experimenter_no_cap_on","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","experimenter_no_cap_on","misson_start_time_not_found","experimenter_no_cap_on","experimenter_no_cap_on","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok","ok","ok","ok","ok","ok","ok","ok","misson_start_time_not_found","ok","ok"
