topic,schema,description
agent/control/rollcall/request,Agent/rollcall/agent_rollcall_request.json,agent rollcall request
agent/control/rollcall/response,Agent/rollcall/agent_rollcall_response.json,agent rollcall response
agent/control/feedbacktoagent,Agent/agentfeedback/agent_feedback.json,player feedback to agent
agent/pygl_fov/player/3d/summary,PyGLFoVAgent/fov.json,CMU field of view agent,
agent/pygl_fov/profile,PyGLFoVAgent/fov_profile.json,CMU Field of View Agent profiling
agent/intervention/+/block,Agent/Intervention/agent_intervention_block_message.json,block intervention from agent,
agent/intervention/+/chat,Agent/Intervention/agent_intervention_text_message.json,chat intervention from agent,
agent/ac/ac_cmu_ta2_ted/ted,AC_CMU_TA2_TED/cmu_ta2_ted_message.json,CMU TA2 TED AC
agent/ac/ac_cmu_ta2_beard/beard,AC_CMU_TA2_BEARD/cmu_ta2_beard_message.json,CMU TA2 BEARD AC
agent/ac/player_compliance,Cornell_TeamTrust_AC/player_compliance_message.json,Cornell Team Trust
status/+/heartbeats,Status/status.json,components can send heartbeat message indicating that they are still functioning,
agent/dialog,DialogAgent/chat_analysis_message.json,message for speech analysis after final speech message,
agent/prediction/+,Agent/Prediction/agent_prediction_message.json,predictions from agent,
agent/measures/+,Measures/agent_measures.json,measures from message bus,
observations/state,PlayerState/observation_state.json,includes location and state (e.g. health) of each player,
control,Control/Control.json,messages that control the startup,initialization, running and stopping of the testbed,
minecraft/chat,Chat/chat_event_message.json,chat message either between agent and humans or between humans,
status/server/stopped,Status/serverstopped.json, tracks when the minecraft server has stopped and whether it was due to error
status/minecraft/loading,Status/minecraftloading.json,tracks the loading progress of the modded server during trial startup
status/asistdataingester/userspeech,Status/userspeech.json,The speech to text processor can send the text of user utterances
status/clientmapsystem/playername,Status/player_name.json,publishes the player name on the message bus,
agent/asr/final,AC_UAZ_TA1_ASR_Agent/asr_message.json,AU speech translation message for final speech messges
agent/asr/intermediate,AC_UAZ_TA1_ASR_Agent/asr_message.json,AU speech translation message for intermediate speech messages
agent/speech_analyzer/sentiment,AC_UAZ_TA1_SpeechAnalyzer/sentiment_message.json, Sentiment labels for final transcription
agent/speech_analyzer/personality,AC_UAZ_TA1_SpeechAnalyzer/personality_message.json, Personality labels for final transcription
agent/+/versioninfo,Agent/versioninfo/agent_versioninfo.json,agent version information message
status/asistdataingester/surveyresponse,Status/surveyresponse.json,The responses from Qualtrics surveys entered by the user
