"Variable / Field Name"	"Form Name"	"Section Header"	"Field Type"	"Field Label"	"Choices, Calculations, OR Slider Labels"	"Field Note"	"Text Validation Type OR Show Slider Number"	"Text Validation Min"	"Text Validation Max"	Identifier?	"Branching Logic (Show field only if...)"	"Required Field?"	"Custom Alignment"	"Question Number (surveys only)"	"Matrix Group Name"	"Matrix Ranking?"	"Field Annotation"
record_id	subject_information_sheet		text	"Record ID"													
subject_id	subject_information_sheet		text	"Subject ID"								y					
email_address	subject_information_sheet		text	"<div class=""rich-text-field-label""><p>E-mail Address</p></div>"			email			y		y					
head_size	subject_information_sheet		text	"<div class=""rich-text-field-label""><p>Head Size (<span style=""color: #e03e2d;""><em>cm</em></span>)</p></div>"		"A researcher will measure your headsize and enter the value."											
presession_date	subject_information_sheet		text	"Pre-Session Date"			datetime_mdy										
presession_exp_initials	subject_information_sheet		text	"<div class=""rich-text-field-label""><p>Pre-Session Experimenter(s) (<span style=""color: #e03e2d;""><em>Initials only</em></span>)</p></div>"													
session1_date	subject_information_sheet		text	"Session 1 Date"													
team_id	subject_information_sheet		text	"Team ID"													
session1_exp_initials	subject_information_sheet		text	"<div class=""rich-text-field-label""><p>Session 1 Experimenter(s) (<em><span style=""color: #e03e2d;"">Initials only</span></em>)</p></div>"													
session2_date	subject_information_sheet		text	"Session 2 Date"													
session2_exp_initials	subject_information_sheet		text	"<div class=""rich-text-field-label""><p>Session 2 Experimenter(s) (<span style=""color: #e03e2d;""><em>Initials only</em></span>)</p></div>"													
informed_consent	informed_consent_form		descriptive														
consent_info7	informed_consent_form		descriptive	"<div class=""rich-text-field-label""><p>Signing the consent form</p> <p><br /><span style=""font-weight: normal;"">I have read (or someone has read to me) this form, and I am aware that I am being asked to</span><br /><span style=""font-weight: normal;"">participate in a research study. I have had the opportunity to ask questions and have had them</span><br /><span style=""font-weight: normal;"">answered to my satisfaction. I voluntarily agree to participate in this study.</span></p> <p><br /><span style=""font-weight: normal;"">I am not giving up any legal rights by signing this form. I will be given a copy of this form.</span></p></div>"													
consent_subjectname	informed_consent_form		text	"Printed Name of Subject"						y		y					
consent_signature	informed_consent_form		file	"Signature of subject"			signature					y					
consent_date	informed_consent_form		text	Date			date_mdy					y					
covid_screener_subjectid	covid19_screening		descriptive	"Subject ID: [subject_id]"								y					
covid_screener_date	covid19_screening		descriptive	"PRE-SESSION DATE: [presession_date]"													
covid_instructions	covid19_screening		descriptive	"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">Now or in the past 72 hours, have you had any of the following symptoms that could be related to COVID-19?</span></p></div>"													
covid_symptoms	covid19_screening		checkbox		"1, Fever or chills | 2, Cough | 3, Shortness of breath or difficulty breathing | 4, Fatigue | 5, Muscle or body aches | 6, Headache | 7, New loss of taste or smell | 8, Sore throat | 9, Congestion or runny nose | 10, Nausea or vomiting | 11, Diarrhea | 12, No | 13, Not applicable, I recovered from COVID-19 in the last 90 days | 14, Yes, I have symptoms or was diagnosed with COVID-19 in the past 10 days"							y					
