"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,subject_information_sheet,,text,"Record ID",,,,,,,,,,,,,
subject_id,subject_information_sheet,,text,"Subject ID",,,,,,,,y,,,,,
session1_date,subject_information_sheet,,text,"Session 1 Date",,,date_mdy,,,,,,,,,,
session1_exp_initials,subject_information_sheet,,text,"<div class=""rich-text-field-label""><p>Session 1 Experimenter(s) (<em><span style=""color: #e03e2d;"">Initials only</span></em>)</p></div>",,,,,,,,,,,,,
session1_comp_name,subject_information_sheet,,radio,"<div class=""rich-text-field-label""><p>Computer Name</p></div>","1, Cheetah | 2, Lion | 3, Tiger | 4, Leopard",,,,,,,,,,,,
session1_player_name,subject_information_sheet,,text,"<div class=""rich-text-field-label""><p>Minecraft Player Name</p></div>",,,,,,,,,,,,,
session1_game_crash,subject_information_sheet,,yesno,"<div class=""rich-text-field-label""><p>Did the game crash between missions?</p></div>",,,,,,,,,,,,,
session1_updated_player_name,subject_information_sheet,,text,"<div class=""rich-text-field-label""><p>Updated Player Name</p></div>",,,,,,,"[session1_game_crash] = '1'",,,,,,
post_game_survey_subject_id,postgame_survey,,text,"<div class=""rich-text-field-label""><p>Subject ID:</p></div>",,,,,,,,y,,,,,
survey_date,postgame_survey,,text,Date,,,date_mdy,,,,,y,,,,,
lbl_emo_due_to_agent,postgame_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #111ec9;"">For the next few questions, you will be shown emotions.</span></p> <p><span style=""color: #111ec9;"">Please indicate how much you felt the emotions <span style=""text-decoration: underline;"">DUE TO THE AGENT </span>(<em>not due to how the game went</em>).</span></p></div>",,,,,,,,,,,,,
agent_calm,postgame_survey,,radio,"calm or relaxed","0, not at all | 1, a small amount | 2, a moderate amount | 3, a large amount | 4, a very large amount",,,,,,,y,,,,,
agent_anxious,postgame_survey,,radio,"anxious or stressed","0, not at all | 1, a small amount | 2, a moderate amount | 3, a large amount | 4, a very large amount",,,,,,,y,,,,,
agent_excited,postgame_survey,,radio,"excited or energized","0, not at all | 1, a small amount | 2, a moderate amount | 3, a large amount | 4, a very large amount",,,,,,,y,,,,,
agent_sad,postgame_survey,,radio,"sad or depressed","0, not at all | 1, a small amount | 2, a moderate amount | 3, a large amount | 4, a very large amount",,,,,,,y,,,,,
agent_guilty,postgame_survey,,radio,"guilty or ashamed","0, not at all | 1, a small amount | 2, a moderate amount | 3, a large amount | 4, a very large amount",,,,,,,y,,,,,
agent_angry,postgame_survey,,radio,"frustrated or angry","0, not at all | 1, a small amount | 2, a moderate amount | 3, a large amount | 4, a very large amount",,,,,,,y,,,,,
agent_happy,postgame_survey,,radio,"happy or content","0, not at all | 1, a small amount | 2, a moderate amount | 3, a large amount | 4, a very large amount",,,,,,,y,,,,,
