Experiment Directory: /data/cat/LangLab/experiments/study_3_pilot/group/exp_yyyy_mm_dd_hh/

Status            |Description                                 |Directory                       |File(s)                   |Min_Size|Max_Size|Min_Count|Max_Count|File_Size|File_Count|
------------------|--------------------------------------------|--------------------------------|--------------------------|--------|--------|---------|---------|---------|----------|
Face Images:                                                   |                                |                          |        |        |         |         |         |          |
(Unchecked)       |Lion Face Images Files Block 1              |lion/face_images/block_1        |*.png                     |730K    |1M      |15K      |22K      |         |          |
(Unchecked)       |Lion Face Images outFile.csv Block 1        |lion/face_images/block_1        |outFile.csv               |1M      |5M      |1        |1        |         |          |
(Unchecked)       |Lion Face Images Files Block 2              |lion/face_images/block_2        |*.png                     |730K    |1M      |15K      |38K      |         |          |
(Unchecked)       |Lion Face Images outFile.csv Block 2        |lion/face_images/block_2        |outFile.csv               |1M      |5M      |1        |1        |         |          |
(Unchecked)       |Tiger Face Images Files Block 1             |tiger/face_images/block_1       |*.png                     |730K    |1M      |15K      |22K      |         |          |
(Unchecked)       |Tiger Face Images outFile.csv Block 1       |tiger/face_images/block_1       |outFile.csv               |1M      |5M      |1        |1        |         |          |
(Unchecked)       |Tiger Face Images Files Block 2             |tiger/face_images/block_2       |*.png                     |730K    |1M      |15K      |38K      |         |          |
(Unchecked)       |Tiger Face Images outFile.csv Block 2       |tiger/face_images/block_2       |outFile.csv               |1M      |5M      |1        |1        |         |          |
(Unchecked)       |Leopard Face Images Files Block 1           |leopard/face_images/block_1     |*.png                     |730K    |1M      |15K      |22K      |         |          |
(Unchecked)       |Leopard Face Images outFile.csv Block 1     |leopard/face_images/block_1     |outFile.csv               |1M      |5M      |1        |1        |         |          |
(Unchecked)       |Leopard Face Images Files Block 2           |leopard/face_images/block_2     |*.png                     |730K    |1M      |15K      |38K      |         |          |
(Unchecked)       |Leopard Face Images outFile.csv Block 2     |leopard/face_images/block_2     |outFile.csv               |1M      |5M      |1        |1        |         |          |
-
Screenshots Images:                                            |                                |                          |        |        |         |         |         |          |
(Unchecked)       |Lion Screenshots Images Files Block 1       |lion/screenshots/block_1        |*.png                     |300K    |1M      |8K       |20K      |         |          |
(Unchecked)       |Lion Screenshots outFile.csv Block 1        |lion/screenshots/block_1        |outFile.csv               |500K    |5M      |1        |1        |         |          |
(Unchecked)       |Lion Screenshots Images Files Block 2       |lion/screenshots/block_2        |*.png                     |300K    |1M      |8K       |20K      |         |          |
(Unchecked)       |Lion Screenshots outFile.csv Block 2        |lion/screenshots/block_2        |outFile.csv               |500K    |5M      |1        |1        |         |          |
