group_session,station,Frames_Per_Second
exp_2023_04_17_13,leopard,3.804013231441426
exp_2023_04_17_13,lion,3.757181711051214
exp_2023_04_17_13,tiger,3.8405648059000783
exp_2023_04_18_14,leopard,3.7484472827443134
exp_2023_04_18_14,lion,6.5332289343791986e-06
exp_2023_04_18_14,tiger,3.7607454308802795
exp_2023_04_21_10,leopard,3.8456902359264515
exp_2023_04_21_10,lion,
exp_2023_04_21_10,tiger,3.840324991045185
exp_2023_04_24_13,leopard,3.819975677752474
exp_2023_04_24_13,lion,3.1082602179584558
exp_2023_04_24_13,tiger,3.810856895709049
exp_2023_04_27_14,leopard,4.00882667909247
exp_2023_04_27_14,lion,6838539.130434782
exp_2023_04_27_14,tiger,4.047226325190795
exp_2023_04_28_10,leopard,3.88451590389259
exp_2023_04_28_10,lion,3.0848055869445687
exp_2023_04_28_10,tiger,3.8445362028889147
exp_2023_05_01_13,leopard,3.92328972691132
exp_2023_05_01_13,lion,3.954506440062637
exp_2023_05_01_13,tiger,4.05772245267133
exp_2023_05_02_14,leopard,4.035145680923614
exp_2023_05_02_14,lion,3.8718093579970976
exp_2023_05_02_14,tiger,3.8531352587576255
exp_2023_05_03_10,leopard,3.9619689572372647
exp_2023_05_03_10,lion,3.978127473400521
exp_2023_05_03_10,tiger,3.795433795999075
