group_session,start_timestamp_unix,start_timestamp_iso8601,stop_timestamp_unix,stop_timestamp_iso8601
exp_2022_09_30_10,1664562998.2463894,2022-09-30T18:36:38.246389+00:00,1664563299.7770438,2022-09-30T18:41:39.777044+00:00
exp_2022_10_04_09,1664906871.683295,2022-10-04T18:07:51.683295+00:00,1664907173.228929,2022-10-04T18:12:53.228929+00:00
exp_2022_10_07_15,1665184683.9434314,2022-10-07T23:18:03.943431+00:00,1665184985.470321,2022-10-07T23:23:05.470321+00:00
exp_2022_10_14_10,1665771871.514909,2022-10-14T18:24:31.514909+00:00,1665772173.056182,2022-10-14T18:29:33.056182+00:00
exp_2022_10_18_10,1666117970.5168164,2022-10-18T18:32:50.516816+00:00,1666118272.0474331,2022-10-18T18:37:52.047433+00:00
exp_2022_10_21_15,1666394161.7185602,2022-10-21T23:16:01.718560+00:00,1666394463.25267,2022-10-21T23:21:03.252670+00:00
exp_2022_10_24_12,1666642227.357,2022-10-24T20:10:27.357000+00:00,1666642528.8954542,2022-10-24T20:15:28.895454+00:00
exp_2022_10_27_10,1666894743.8913176,2022-10-27T18:19:03.891318+00:00,1666895045.428416,2022-10-27T18:24:05.428416+00:00
exp_2022_10_28_10,1666980652.5989792,2022-10-28T18:10:52.598979+00:00,1666980954.141095,2022-10-28T18:15:54.141095+00:00
exp_2022_10_31_10,1667240628.5271714,2022-10-31T18:23:48.527171+00:00,1667240930.0653622,2022-10-31T18:28:50.065362+00:00
exp_2022_11_01_10,1667326859.8491125,2022-11-01T18:20:59.849113+00:00,1667327161.3822553,2022-11-01T18:26:01.382255+00:00
exp_2022_11_04_10,1667586259.6340227,2022-11-04T18:24:19.634023+00:00,1667586561.1718185,2022-11-04T18:29:21.171818+00:00
exp_2022_11_07_10,1667844842.7819762,2022-11-07T18:14:02.781976+00:00,1667845144.3065886,2022-11-07T18:19:04.306589+00:00
exp_2022_11_08_11,1667935174.639505,2022-11-08T19:19:34.639505+00:00,1667935476.165759,2022-11-08T19:24:36.165759+00:00
exp_2022_11_10_10,1668104474.0689833,2022-11-10T18:21:14.068983+00:00,1668104775.6068883,2022-11-10T18:26:15.606888+00:00
exp_2022_11_14_12,1668456432.970361,2022-11-14T20:07:12.970361+00:00,1668456734.4916587,2022-11-14T20:12:14.491659+00:00
exp_2022_11_15_13,1668546668.9825757,2022-11-15T21:11:08.982576+00:00,1668546970.5276575,2022-11-15T21:16:10.527658+00:00
