group_session,station,participant,id,task,timestamp_unix,timestamp_iso8601,filename,url,timestamp_origin
exp_2023_04_17_13,leopard,140,465,rest_state,1681766683.7971568,2023-04-17T21:24:43.797157+00:00,000466_2023-04-17_21-24-55.092.PM~237.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_17_13/leopard/screenshots/block_1/000466_2023-04-17_21-24-55.092.PM~237.png,lsl
exp_2023_04_17_13,leopard,140,19443,saturn_a,1681771672.7387943,2023-04-17T22:47:52.738794+00:00,010011_2023-04-17_22-47-56.541.PM~274.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_17_13/leopard/screenshots/block_2/010011_2023-04-17_22-47-56.541.PM~274.png,lsl
exp_2023_04_17_13,lion,131,0,affective_team,1681767669.2908518,2023-04-17T21:41:09.290852+00:00,000001_2023-04-17_21-22-48.548.PM~0.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_17_13/lion/screenshots/block_1/000001_2023-04-17_21-22-48.548.PM~0.png,lsl
exp_2023_04_17_13,lion,131,10301,hands_on_training,1681770410.9735258,2023-04-17T22:26:50.973526+00:00,000572_2023-04-17_22-05-20.066.PM~248.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_17_13/lion/screenshots/block_2/000572_2023-04-17_22-05-20.066.PM~248.png,lsl
exp_2023_04_17_13,tiger,133,443,rest_state,1681766683.7050195,2023-04-17T21:24:43.705019+00:00,000444_2023-04-17_21-24-45.476.PM~243.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_17_13/tiger/screenshots/block_1/000444_2023-04-17_21-24-45.476.PM~243.png,lsl
exp_2023_04_17_13,tiger,133,19604,saturn_a,1681771672.8149471,2023-04-17T22:47:52.814947+00:00,010021_2023-04-17_22-47-57.163.PM~273.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_17_13/tiger/screenshots/block_2/010021_2023-04-17_22-47-57.163.PM~273.png,lsl
exp_2023_04_18_14,leopard,137,382,rest_state,1681855964.6559558,2023-04-18T22:12:44.655956+00:00,000383_2023-04-18_22-12-57.172.PM~212.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_18_14/leopard/screenshots/block_1/000383_2023-04-18_22-12-57.172.PM~212.png,lsl
exp_2023_04_18_14,leopard,137,22053,saturn_b,1681861745.9830935,2023-04-18T23:49:05.983094+00:00,013829_2023-04-18_23-49-10.581.PM~291.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_18_14/leopard/screenshots/block_2/013829_2023-04-18_23-49-10.581.PM~291.png,lsl
exp_2023_04_18_14,lion,134,0,affective_team,1681856840.133296,2023-04-18T22:27:20.133296+00:00,000001_2023-04-18_22-11-14.336.PM~0.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_18_14/lion/screenshots/block_1/000001_2023-04-18_22-11-14.336.PM~0.png,lsl
exp_2023_04_18_14,lion,112,10977,hands_on_training,1676930.5886049678,1970-01-20T09:48:50.588605+00:00,002738_2023-04-18_22-58-32.526.PM~272.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_18_14/lion/screenshots/block_2/002738_2023-04-18_22-58-32.526.PM~272.png,lsl
exp_2023_04_18_14,tiger,136,417,rest_state,1681855964.6975784,2023-04-18T22:12:44.697578+00:00,000418_2023-04-18_22-12-54.939.PM~225.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_18_14/tiger/screenshots/block_1/000418_2023-04-18_22-12-54.939.PM~225.png,lsl
exp_2023_04_18_14,tiger,136,22159,saturn_b,1681861745.9982274,2023-04-18T23:49:05.998227+00:00,013847_2023-04-18_23-49-10.112.PM~273.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_18_14/tiger/screenshots/block_2/013847_2023-04-18_23-49-10.112.PM~273.png,lsl
